"n_total","memory_mode","elapsed_s","status","total_cost","n_pairs","certified_optimal","duality_gap","candidate_edges","possible_edges","edges_evaluated","n_rounds"
500,"dense",0.026,"ok",244.439100788808,167,NA,NA,NA,NA,NA,NA
500,"lazy",0.083,"ok",244.439100788808,167,NA,NA,NA,NA,NA,NA
500,"implicit",0.012,"ok",244.439100788808,167,TRUE,0,848,55611,165741,3
2000,"dense",0.131,"ok",791.225096837908,667,NA,NA,NA,NA,NA,NA
2000,"lazy",0.083,"ok",791.225096837908,667,NA,NA,NA,NA,NA,NA
2000,"implicit",0.068,"ok",791.225096837908,667,TRUE,0,3492,889111,2414222,3
5000,"dense",0.813,"ok",1714.64003806365,1667,NA,NA,NA,NA,NA,NA
5000,"lazy",0.345,"ok",1714.64003806365,1667,NA,NA,NA,NA,NA,NA
5000,"implicit",0.458,"ok",1714.64003806365,1667,TRUE,0,8617,5556111,18241033,4
10000,"dense",2.948,"ok",3094.46350924015,3333,NA,NA,NA,NA,NA,NA
10000,"lazy",1.595,"ok",3094.46350924015,3333,NA,NA,NA,NA,NA,NA
10000,"implicit",2.086,"ok",3094.46350924015,3333,TRUE,0,17667,22221111,80008129,5
20000,"lazy",6.391,"ok",5515.91608475409,6667,NA,NA,NA,NA,NA,NA
20000,"implicit",7.326,"ok",5515.91608475409,6667,TRUE,0,35641,88891111,267551119,5
50000,"lazy",62.524,"ok",11931.3413188897,16667,NA,NA,NA,NA,NA,NA
50000,"implicit",48.28,"ok",11931.3413188897,16667,TRUE,0,97067,555561111,1592394005,7
